Tokenized POS Text
"[('ProductId', 'NNP'), ('B001E4KFG0', 'NNP')]"
"[('Text', 'NNP'), ('glad', 'NN'), ('Amazon', 'NNP'), ('carried', 'VBD'), ('batteries', 'NNS'), ('hard', 'JJ'), ('time', 'NN'), ('finding', 'VBG'), ('elsewhere', 'RB'), ('unique', 'JJ'), ('size', 'NN'), ('need', 'NN'), ('garage', 'NN'), ('door', 'NN'), ('openerbr', 'RB'), ('Great', 'NNP'), ('deal', 'NN'), ('price', 'NN')]"
"[('ProductId', 'NNP'), ('B00144C10S', 'NNP')]"
"[('ProfileName', 'NNP'), ('DaisyH', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('YUMMY', 'NN')]"
"[('Text', 'NNP'), ('got', 'VBD'), ('Mum', 'NNP'), ('diabetic', 'JJ'), ('needs', 'NNS'), ('watch', 'VBP'), ('sugar', 'NN'), ('intake', 'VB'), ('father', 'NN'), ('simply', 'RB'), ('chooses', 'VBZ'), ('limit', 'NN'), ('unnecessary', 'JJ'), ('sugar', 'NN'), ('intake', 'NN'), ('shes', 'VBZ'), ('one', 'CD'), ('sweet', 'NN'), ('tooth', 'CC'), ('LOVED', 'NNP'), ('toffees', 'NNS'), ('would', 'MD'), ('never', 'RB'), ('guess', 'VB'), ('theyre', 'JJ'), ('sugarfree', 'JJ'), ('great', 'JJ'), ('eat', 'NN'), ('pretty', 'RB'), ('much', 'JJ'), ('guilt', 'NN'), ('free', 'JJ'), ('impressed', 'JJ'), ('ive', 'NN'), ('ordered', 'VBD'), ('w', 'JJ'), ('dark', 'JJ'), ('chocolate', 'NN'), ('take', 'VB'), ('office', 'NN'), ('ill', 'RB'), ('eat', 'VBP'), ('instead', 'RB'), ('snacking', 'VBG'), ('sugary', 'JJ'), ('sweetsbr', 'NN'), ('EXCELLENT', 'NNP')]"
"[('ProductId', 'NNP'), ('B0001PB9FY', 'NNP')]"
"[('ProfileName', 'NNP'), ('Canadian', 'NNP'), ('Fan', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Best', 'NNP'), ('Hot', 'NNP'), ('Sauce', 'NNP'), ('World', 'NNP')]"
"[('Text', 'NNP'), ('dont', 'NN'), ('know', 'VBP'), ('cactus', 'NN'), ('tequila', 'NN'), ('unique', 'JJ'), ('combination', 'NN'), ('ingredients', 'NNS'), ('flavour', 'VBP'), ('hot', 'JJ'), ('sauce', 'NN'), ('makes', 'VBZ'), ('one', 'CD'), ('kind', 'NN'), ('picked', 'VBD'), ('bottle', 'JJ'), ('trip', 'NN'), ('brought', 'VBD'), ('back', 'RP'), ('home', 'NN'), ('us', 'PRP'), ('totally', 'RB'), ('blown', 'VB'), ('away', 'RB'), ('realized', 'VBN'), ('simply', 'RB'), ('couldnt', 'JJ'), ('find', 'VBP'), ('anywhere', 'JJ'), ('city', 'NN'), ('bummedbr', 'NN'), ('br', 'NN'), ('magic', 'JJ'), ('internet', 'NN'), ('case', 'NN'), ('sauce', 'VB'), ('ecstatic', 'JJ'), ('itbr', 'NN'), ('br', 'NN'), ('love', 'VB'), ('hot', 'JJ'), ('sauceI', 'JJ'), ('mean', 'NN'), ('really', 'RB'), ('love', 'VB'), ('hot', 'JJ'), ('sauce', 'NNS'), ('dont', 'VBP'), ('want', 'VBP'), ('sauce', 'NN'), ('tastelessly', 'RB'), ('burns', 'VBZ'), ('throat', 'NN'), ('grab', 'NN'), ('bottle', 'NN'), ('Tequila', 'NNP'), ('Picante', 'NNP'), ('Gourmet', 'NNP'), ('de', 'FW'), ('Inclan', 'NNP'), ('realize', 'VBP'), ('taste', 'NN'), ('never', 'RB'), ('want', 'VBP'), ('use', 'NN'), ('saucebr', 'NN'), ('br', 'NN'), ('Thank', 'NNP'), ('personal', 'JJ'), ('incredible', 'JJ'), ('service', 'NN')]"
"[('ProductId', 'NNP'), ('B003F6UO7K', 'NNP')]"
"[('ProfileName', 'NNP'), ('Sherril', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('machine', 'NN')]"
"[('Text', 'NNP'), ('never', 'RB'), ('huge', 'JJ'), ('coffee', 'NN'), ('fan', 'NN'), ('However', 'RB'), ('mother', 'RB'), ('purchased', 'JJ'), ('little', 'JJ'), ('machine', 'NN'), ('talked', 'VBD'), ('trying', 'VBG'), ('Latte', 'NNP'), ('Macciato', 'NNP'), ('Coffee', 'NNP'), ('Shop', 'NNP'), ('better', 'RB'), ('one', 'CD'), ('like', 'JJ'), ('products', 'NNS'), ('usually', 'RB'), ('noncoffee', 'VBP'), ('drinkerbr', 'JJ'), ('little', 'JJ'), ('Dolche', 'NNP'), ('Guesto', 'NNP'), ('Machine', 'NNP'), ('super', 'NN'), ('easy', 'NN'), ('use', 'NN'), ('prepares', 'VBZ'), ('really', 'RB'), ('good', 'JJ'), ('CoffeeLatteCappuccinoetc', 'NNP'), ('less', 'CC'), ('minute', 'JJ'), ('water', 'NN'), ('heated', 'VBN'), ('would', 'MD'), ('recommend', 'VB'), ('Dolce', 'NNP'), ('Gusto', 'NNP'), ('anyone', 'NN'), ('good', 'JJ'), ('price', 'NN'), ('Iam', 'NNP'), ('getting', 'VBG'), ('one', 'CD')]"
"[('ProductId', 'NNP'), ('B003F6UO7K', 'NNP')]"
"[('ProfileName', 'NNP'), ('Molly', 'NNP'), ('V', 'NNP'), ('Smith', 'NNP'), ('staral', 'JJ')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('TASTE', 'NNP')]"
"[('Text', 'NN'), ('offer', 'NN'), ('great', 'JJ'), ('price', 'NN'), ('great', 'JJ'), ('taste', 'NN'), ('thanks', 'NNS'), ('Amazon', 'NNP'), ('selling', 'VBG'), ('productbr', 'JJ'), ('br', 'NNS'), ('Staral', 'JJ')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NN'), ('Potter', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('19', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('19', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('Best', 'NNP'), ('Instant', 'NNP'), ('Oatmeals', 'NNP')]"
"[('Text', 'NNP'), ('McCanns', 'NNP'), ('Instant', 'NNP'), ('Oatmeal', 'NNP'), ('great', 'JJ'), ('must', 'MD'), ('oatmeal', 'VB'), ('scrape', 'VB'), ('together', 'RB'), ('two', 'CD'), ('three', 'CD'), ('minutes', 'NNS'), ('prepare', 'VBP'), ('escaping', 'VBG'), ('fact', 'NN'), ('however', 'RB'), ('even', 'RB'), ('best', 'JJS'), ('instant', 'JJ'), ('oatmeal', 'NN'), ('nowhere', 'RB'), ('near', 'RB'), ('good', 'JJ'), ('even', 'RB'), ('store', 'VBP'), ('brand', 'NN'), ('oatmeal', 'NN'), ('requiring', 'VBG'), ('stovetop', 'JJ'), ('preparation', 'NN'), ('Still', 'RB'), ('McCanns', 'NNP'), ('good', 'JJ'), ('gets', 'VBZ'), ('instant', 'JJ'), ('oatmeal', 'NN'), ('even', 'RB'), ('better', 'RBR'), ('organic', 'JJ'), ('allnatural', 'JJ'), ('brands', 'NNS'), ('tried', 'JJ'), ('varieties', 'NNS'), ('McCanns', 'NNP'), ('variety', 'NN'), ('pack', 'NN'), ('taste', 'NN'), ('good', 'JJ'), ('prepared', 'JJ'), ('microwave', 'NN'), ('adding', 'VBG'), ('boiling', 'JJ'), ('water', 'NN'), ('convenient', 'NN'), ('extreme', 'JJ'), ('time', 'NN'), ('issuebr', 'JJ'), ('br', 'NN'), ('McCanns', 'NNP'), ('use', 'NN'), ('actual', 'JJ'), ('cane', 'NN'), ('sugar', 'NN'), ('instead', 'RB'), ('high', 'JJ'), ('fructose', 'JJ'), ('corn', 'NN'), ('syrup', 'NN'), ('helped', 'VBD'), ('decide', 'VB'), ('buy', 'VB'), ('product', 'NN'), ('Real', 'JJ'), ('sugar', 'NN'), ('tastes', 'NNS'), ('better', 'RBR'), ('harmful', 'JJ'), ('stuff', 'NN'), ('One', 'CD'), ('thing', 'NN'), ('like', 'IN'), ('though', 'IN'), ('McCanns', 'NNP'), ('use', 'NN'), ('thickeners', 'NNS'), ('Oats', 'NNP'), ('plus', 'CC'), ('water', 'NN'), ('plus', 'CC'), ('heat', 'NN'), ('make', 'VBP'), ('creamy', 'JJ'), ('tasty', 'NN'), ('oatmeal', 'NN'), ('without', 'IN'), ('need', 'NN'), ('guar', 'NNS'), ('gum', 'JJ'), ('convenience', 'NN'), ('product', 'NN'), ('Maybe', 'NNP'), ('guar', 'NN'), ('gum', 'NN'), ('sitting', 'VBG'), ('bowl', 'NN'), ('instant', 'JJ'), ('McCanns', 'NNP'), ('becomes', 'VBZ'), ('thick', 'JJ'), ('gluey', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Megan', 'NNP'), ('Bad', 'NNP'), ('Nicknames', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('13', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('13', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('Good', 'NNP'), ('Instant', 'NN')]"
"[('Text', 'RB'), ('good', 'JJ'), ('instant', 'JJ'), ('oatmeal', 'NN'), ('best', 'JJS'), ('oatmeal', 'NN'), ('brand', 'NN'), ('uses', 'VBZ'), ('cane', 'NN'), ('sugar', 'NN'), ('instead', 'RB'), ('high', 'JJ'), ('fructouse', 'NN'), ('corn', 'NN'), ('syrup', 'NN'), ('better', 'RBR'), ('sweetness', 'NN'), ('doctors', 'NNS'), ('say', 'VBP'), ('form', 'NN'), ('sugar', 'NN'), ('better', 'RBR'), ('Great', 'NNP'), ('cold', 'JJ'), ('morning', 'NN'), ('dont', 'NN'), ('time', 'NN'), ('make', 'VBP'), ('McCanns', 'NNP'), ('Steel', 'NNP'), ('Cut', 'NNP'), ('Oats', 'NNP'), ('apple', 'NN'), ('cinnamon', 'NN'), ('best', 'JJS'), ('maple', 'NN'), ('brown', 'NN'), ('sugar', 'NN'), ('regular', 'JJ'), ('good', 'JJ'), ('Plus', 'CC'), ('dont', 'JJ'), ('require', 'NN'), ('doctoring', 'VBG'), ('actually', 'RB'), ('tell', 'VB'), ('three', 'CD'), ('flavors', 'NNS'), ('apart', 'RB')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NN'), ('CorbyJames', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('9', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('9', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('Irish', 'NNP'), ('oatmeal', 'NN'), ('hurry', 'NN')]"
"[('Text', 'NNP'), ('Instant', 'NNP'), ('oatmeal', 'NN'), ('become', 'NN'), ('soggy', 'JJ'), ('minute', 'JJ'), ('water', 'NN'), ('hits', 'NNS'), ('bowl', 'VBP'), ('McCanns', 'NNP'), ('Instant', 'NNP'), ('Oatmeal', 'NNP'), ('holds', 'VBZ'), ('texture', 'JJ'), ('excellent', 'JJ'), ('flavor', 'NN'), ('good', 'JJ'), ('time', 'NN'), ('McCanns', 'NNP'), ('regular', 'JJ'), ('oat', 'NN'), ('meal', 'NN'), ('excellent', 'NN'), ('may', 'MD'), ('take', 'VB'), ('bit', 'NN'), ('longer', 'JJR'), ('prepare', 'JJ'), ('time', 'NN'), ('morning', 'NN'), ('best', 'RBS'), ('instant', 'JJ'), ('brand', 'NN'), ('Ive', 'NNP'), ('ever', 'RB'), ('eaten', 'RB'), ('close', 'JJ'), ('second', 'JJ'), ('noninstant', 'JJ'), ('varietybr', 'NN'), ('br', 'NN'), ('McCanns', 'NNP'), ('Instant', 'NNP'), ('Irish', 'NNP'), ('Oatmeal', 'NNP'), ('Variety', 'NNP'), ('Pack', 'NNP'), ('Regular', 'NNP'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('Maple', 'NNP'), ('Brown', 'NNP'), ('Sugar', 'NNP'), ('10Count', 'CD'), ('Boxes', 'NNP'), ('Pack', 'NNP'), ('6', 'CD')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('J', 'NNP'), ('Ryan', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('3', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('3', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('satisfying', 'NN')]"
"[('Text', 'NNP'), ('McCanns', 'NNP'), ('Instant', 'NNP'), ('Irish', 'NNP'), ('Oatmeal', 'NNP'), ('Variety', 'NNP'), ('Pack', 'NNP'), ('Regular', 'NNP'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('Maple', 'NNP'), ('Brown', 'NNP'), ('Sugar', 'NNP'), ('10Count', 'CD'), ('Boxes', 'NNP'), ('Pack', 'NNP'), ('6br', 'CD'), ('br', 'NN'), ('Im', 'NNP'), ('fan', 'NN'), ('McCanns', 'NNP'), ('steelcut', 'VBD'), ('oats', 'NNS'), ('thought', 'VBD'), ('Id', 'NNP'), ('give', 'VB'), ('instant', 'JJ'), ('variety', 'NN'), ('try', 'NN'), ('found', 'VBD'), ('hardy', 'JJ'), ('meal', 'JJ'), ('sweet', 'JJ'), ('great', 'JJ'), ('folks', 'NNS'), ('like', 'IN'), ('postbariatric', 'JJ'), ('surgery', 'NN'), ('need', 'NN'), ('food', 'NN'), ('palatable', 'JJ'), ('easily', 'RB'), ('digestible', 'JJ'), ('fiber', 'NN'), ('wont', 'JJ'), ('make', 'VBP'), ('bloat', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Abby', 'NNP'), ('Chase', 'NNP'), ('gluten', 'VBD'), ('free', 'JJ')]"
"[('HelpfulnessNumerator', 'NN'), ('2', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('2', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Love', 'NNP'), ('Gluten', 'NNP'), ('Free', 'NNP'), ('Oatmeal', 'NNP')]"
"[('Text', 'NNP'), ('us', 'PRP'), ('celiac', 'JJ'), ('disease', 'NN'), ('product', 'NN'), ('lifesaver', 'NN'), ('could', 'MD'), ('better', 'VB'), ('getting', 'VBG'), ('almost', 'RB'), ('half', 'JJ'), ('price', 'NN'), ('grocery', 'NN'), ('health', 'NN'), ('food', 'NN'), ('store', 'NN'), ('love', 'NN'), ('McCanns', 'NNP'), ('instant', 'JJ'), ('oatmeal', 'NN'), ('flavorsbr', 'NN'), ('br', 'NN'), ('Thanksbr', 'NNP'), ('Abby', 'NNP')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Zardoz', 'NNP'), ('focuspuller', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('1', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('oatmeal', 'NN')]"
"[('Text', 'NN'), ('else', 'RB'), ('need', 'MD'), ('know', 'VB'), ('Oatmeal', 'NNP'), ('instant', 'JJ'), ('make', 'VBP'), ('half', 'JJ'), ('cup', 'NN'), ('lowfat', 'JJ'), ('milk', 'NN'), ('add', 'VB'), ('raisinsnuke', 'JJ'), ('90', 'CD'), ('seconds', 'NNS'), ('expensive', 'JJ'), ('Kroger', 'NNP'), ('store', 'NN'), ('brand', 'NN'), ('oatmeal', 'NN'), ('maybe', 'RB'), ('little', 'JJ'), ('tastier', 'JJR'), ('better', 'JJR'), ('texture', 'NN'), ('something', 'NN'), ('still', 'RB'), ('oatmeal', 'JJ'), ('Mmm', 'NNP'), ('convenient', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('JERRY', 'NNP'), ('REITH', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('GOOD', 'NNP'), ('WAY', 'NNP'), ('START', 'NNP'), ('DAY', 'NNP')]"
"[('Text', 'NNP'), ('VISITING', 'NNP'), ('FRIEND', 'NNP'), ('NATE', 'NNP'), ('MORNING', 'NNP'), ('COFFEE', 'NNP'), ('CAME', 'NNP'), ('STORAGE', 'NNP'), ('ROOM', 'NNP'), ('PACKET', 'NNP'), ('McCANNS', 'NNP'), ('INSTANT', 'NNP'), ('IRISH', 'NNP'), ('OATMEAL', 'NNP'), ('SUGGESTED', 'NNP'), ('TRY', 'NNP'), ('USE', 'NNP'), ('STASH', 'NNP'), ('SOMETIMES', 'NNP'), ('NATE', 'NNP'), ('DOSE', 'NNP'), ('GIVE', 'NNP'), ('CHANCE', 'NNP'), ('SAY', 'NNP'), ('ENDED', 'NNP'), ('TRYING', 'NNP'), ('APPLE', 'NNP'), ('CINN', 'NNP'), ('FOUND', 'NNP'), ('TASTEFULL', 'NNP'), ('MADE', 'NNP'), ('WATER', 'NNP'), ('POWDERED', 'NNP'), ('MILK', 'NNP'), ('GOES', 'NNP'), ('GOOD', 'NNP'), ('OJ', 'NNP'), ('COFFEE', 'NNP'), ('SLICE', 'NNP'), ('TOAST', 'NNP'), ('READY', 'NNP'), ('TAKE', 'NNP'), ('WORLDOR', 'NNP'), ('DAY', 'NNP'), ('LEAST', 'NNP'), ('JERRY', 'NNP'), ('REITH', 'NNP')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('kYpondman', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Wifes', 'NNP'), ('favorite', 'NN'), ('Breakfast', 'NN')]"
"[('Text', 'NNP'), ('ordered', 'VBD'), ('wife', 'NN'), ('reccomended', 'VBD'), ('daughter', 'NN'), ('almost', 'RB'), ('every', 'DT'), ('morning', 'NN'), ('likes', 'VBZ'), ('flavors', 'NNS'), ('Shes', 'NNP'), ('happy', 'JJ'), ('Im', 'NNP'), ('happybr', 'NN'), ('hrefhttpwwwamazoncomgpproductB001EO5QW8McCANNS', 'NN'), ('Instant', 'NNP'), ('Irish', 'NNP'), ('Oatmeal', 'NNP'), ('Variety', 'NNP'), ('Pack', 'NNP'), ('Regular', 'NNP'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('Maple', 'NNP'), ('Brown', 'NNP'), ('Sugar', 'NNP'), ('10Count', 'CD'), ('Boxes', 'NNP'), ('Pack', 'NNP'), ('6a', 'CD')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Garrett', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('wouldnt', 'NN'), ('buy', 'VB'), ('oatmeal', 'JJ'), ('Mcanns', 'NNP'), ('Tastes', 'VBZ'), ('great', 'JJ')]"
"[('Text', 'NNP'), ('variety', 'NN'), ('packs', 'NNS'), ('taste', 'VBP'), ('greatbr', 'JJ'), ('br', 'NN'), ('every', 'DT'), ('morning', 'NN'), ('030', 'CD'), ('cents', 'NNS'), ('per', 'IN'), ('meal', 'NN'), ('dont', 'NN'), ('understand', 'VBP'), ('everyone', 'NN'), ('earth', 'NN'), ('isnt', 'JJ'), ('buying', 'NN'), ('stuff', 'NN'), ('upbr', 'JJ'), ('br', 'NN'), ('Maple', 'NNP'), ('brown', 'NN'), ('sugar', 'NN'), ('terrific', 'NN'), ('followed', 'VBD'), ('apples', 'NNS'), ('cinnamon', 'NN'), ('followed', 'VBD'), ('regular', 'JJ'), ('dont', 'NN'), ('get', 'NN'), ('tired', 'VBN'), ('ole', 'JJ'), ('thing', 'NN'), ('taste', 'NN'), ('greatbr', 'NN'), ('br', 'NN'), ('boil', 'NN'), ('water', 'NN'), ('small', 'JJ'), ('pot', 'NN'), ('empty', 'JJ'), ('packet', 'NN'), ('2', 'CD'), ('bowl', 'NN'), ('pour', 'NN'), ('boiling', 'VBG'), ('water', 'NN'), ('watch', 'NN'), ('expand', 'VBP'), ('2x', 'CD'), ('sizebr', 'NN'), ('br', 'NN'), ('Taste', 'NNP'), ('really', 'RB'), ('good', 'JJ'), ('takes', 'VBZ'), ('minutes', 'NNS'), ('preparebr', 'VBP'), ('br', 'JJ'), ('sure', 'JJ'), ('everyone', 'NN'), ('earth', 'NN'), ('isnt', 'JJ'), ('Convenient', 'NNP'), ('healthy', 'JJ'), ('quick', 'JJ'), ('excellent', 'JJ'), ('quality', 'NN'), ('extremely', 'RB'), ('cheap', 'JJ')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Dick', 'NNP'), ('Baldwin', 'NNP'), ('christobe', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Oatmeal', 'NNP'), ('Oatmeal', 'NNP'), ('Lovers', 'NNS')]"
"[('Text', 'NNP'), ('McCanns', 'NNP'), ('makes', 'VBZ'), ('oatmeal', 'JJ'), ('every', 'DT'), ('oatmeal', 'NN'), ('connoisseur', 'NN'), ('whether', 'IN'), ('one', 'CD'), ('likes', 'VBZ'), ('raw', 'JJ'), ('pellet', 'NN'), ('state', 'NN'), ('cooks', 'VBZ'), ('half', 'DT'), ('hour', 'NN'), ('sloth', 'CC'), ('addled', 'VBD'), ('instant', 'JJ'), ('done', 'VBN'), ('microwave', 'VBP'), ('three', 'CD'), ('minutes', 'NNS'), ('good', 'JJ'), ('thats', 'NNS'), ('sure', 'JJ'), ('beauty', 'NN'), ('instant', 'JJ'), ('variety', 'NN'), ('available', 'JJ'), ('different', 'JJ'), ('flavors', 'NNS'), ('well', 'RB'), ('regularbr', 'VB'), ('variety', 'NN'), ('pack', 'NN'), ('allows', 'VBZ'), ('different', 'JJ'), ('tastes', 'NNS'), ('explored', 'VBD'), ('well', 'RB'), ('giving', 'VBG'), ('chance', 'NN'), ('experience', 'NN'), ('difference', 'NN'), ('McCanns', 'NNP'), ('wellknown', 'JJ'), ('oatmeals', 'NNS'), ('personally', 'RB'), ('like', 'IN'), ('McCanns', 'NNP'), ('cooks', 'VBZ'), ('thicker', 'NN'), ('body', 'NN'), ('top', 'JJ'), ('brand', 'NN'), ('America', 'NNP'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('though', 'IN'), ('tends', 'JJ'), ('little', 'JJ'), ('liquidy', 'NN'), ('may', 'MD'), ('want', 'VB'), ('experiment', 'NN'), ('amount', 'NN'), ('water', 'NN'), ('add', 'VBP'), ('1300watt', 'CD'), ('microwave', 'JJ'), ('oatmeal', 'NN'), ('cooks', 'VBZ'), ('one', 'CD'), ('minute', 'NN'), ('twentyseven', 'NN'), ('seconds', 'NNS'), ('also', 'RB'), ('watch', 'VBP'), ('get', 'VB'), ('handle', 'JJ'), ('much', 'JJ'), ('time', 'NN'), ('water', 'NN'), ('usebr', 'JJ'), ('bad', 'JJ'), ('thing', 'NN'), ('consider', 'VB'), ('bad', 'JJ'), ('thing', 'NN'), ('offering', 'NN'), ('buy', 'NN'), ('lot', 'NN'), ('youll', 'JJ'), ('end', 'NN'), ('six', 'CD'), ('tencount', 'NN'), ('boxes', 'NNS'), ('good', 'JJ'), ('whole', 'JJ'), ('family', 'NN'), ('oatmealeaters', 'NNS'), ('youre', 'VBP'), ('single', 'JJ'), ('person', 'NN'), ('alone', 'RB'), ('well', 'RB'), ('love', 'VB'), ('oatmeal', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Roger', 'NNP'), ('Pugliese', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('FoodGreat', 'NN')]"
"[('Text', 'NNP'), ('McCanns', 'NNP'), ('Oatmeal', 'NNP'), ('every', 'DT'), ('morning', 'NN'), ('ordering', 'VBG'), ('Amazon', 'NNP'), ('able', 'JJ'), ('save', 'VBP'), ('almost', 'RB'), ('300', 'CD'), ('per', 'IN'), ('boxbr', 'NN'), ('great', 'JJ'), ('product', 'NN'), ('Tastes', 'VBZ'), ('great', 'JJ'), ('healthy', 'JJ')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Mother', 'NNP'), ('9', 'CD')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Good', 'NNP'), ('Hot', 'NNP'), ('Breakfast', 'NNP')]"
"[('Text', 'NNP'), ('McCanns', 'NNP'), ('Oatmeal', 'NNP'), ('good', 'JJ'), ('quality', 'NN'), ('choice', 'NN'), ('favorite', 'JJ'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('find', 'VBP'), ('none', 'NN'), ('overly', 'RB'), ('sugary', 'JJ'), ('good', 'JJ'), ('hot', 'JJ'), ('breakfast', 'NN'), ('2', 'CD'), ('minutes', 'NNS'), ('excellent', 'JJ')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('Leschke', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('Great', 'NNP'), ('taste', 'NN'), ('convenience', 'NN')]"
"[('Text', 'NNP'), ('really', 'RB'), ('like', 'IN'), ('McCanns', 'NNP'), ('steel', 'NN'), ('cut', 'NN'), ('oats', 'NNS'), ('find', 'VBP'), ('dont', 'JJ'), ('cook', 'NN'), ('oftenbr', 'NN'), ('tastes', 'VBZ'), ('much', 'RB'), ('better', 'JJR'), ('grocery', 'NN'), ('store', 'NN'), ('brands', 'NNS'), ('convenientbr', 'VBP'), ('Anything', 'VBG'), ('keeps', 'NNS'), ('eating', 'VBG'), ('oatmeal', 'JJ'), ('regularly', 'RB'), ('good', 'JJ'), ('thing', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('K', 'NNP'), ('Freel', 'NNP')]"
