Date,URL,Review_Title,Author,Rating,Review_text,Review classfication,Rev_Type
Reviewed in India on 11 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=17,Best fitness band,Sumyuktha,4,  Like    Touch   Fitness Features   Magnetic charging   Decent battery backup   Decent water resistance Dislike    Display is not good enuf size  It doesn  even cover the whole band area   No option to fully customize  but background image can be customized alone    Notification reading and scrolling is  little difficult because of small display size   Not very accurate           ,fake,0
Reviewed in India on 11 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=17,Amazon service is very good,Arghya chakraborty,3,  Band quality is good in outside  but there are many problem inside like step counter  heartreat taking  when i was sleeping the band track my footsteps     meters how do not know how  It also heart tracks when i was not wear it lol  but amazon service is very good  it delivered in    hours that is great and when i return it they refund in just   hours  Thanks amazon,fake,0
Reviewed in India on 11 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=17,Mi band pros and cons   verdict,Akash Mazumdar,4,  Pros  Display is pretty bright and punchy    touch response is fluid    connectivity from phone is good and gets notification in real time     pretty decent looking and comfortable   latest ui and product    heart rate monitoring is good    media control from band is on time Cons    bad sleep tracking in day time      will not track the day time naps    no spo  sensor   it is subjective  VerdictIf you want to use band for sleep tracking in particular it is not for you If you want to use it as a fitness band and gadget for regular use its decent buy if you do not have any fitness band right now or never used one it is new and decent ,genuine,1
Reviewed in India on 2 December 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=17,Workouts tracking not recording properly,Jp,2,  I am using this product for more than a month  While using the walking workout mode  device automatically pauses and restarts  For the same route  distance and time taken  recorded distance and time taken are atleast       lesser than actual figures  No response from company for the compliants made Initially I got a used product shipped as new condition  after noticing the compliant returned the product and received a brand new condition  Problem was same in both Smart bands Is good for recording sleep trackings  idle warnings  I have not tried other workout modes  so do not have view regarding problems if any in other trackings,genuine,1
Reviewed in India on 29 December 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=17,Decent smartband with decent price,sujith,4,  Features mentioned in mi band   is working good  Screen quality is superb quality of strap is also good Acurracy of heart rate sensor  step counter and stress monitor is good i did not expect this much accuracy it does the job very mobile app mi fit app  also compliments the performance of mi band    sleep monitor works perfectly well and it gives the complete information of sleep activity  Battery is also good  with one full charge it gives you    days of battery life  if you use the activities lesser then it will last up to   days  depends on the usage   overall battery performance and accuracy is much good than expected  If someone need budget smartband then you can buy it  it is definitely value for money ,genuine,1
Reviewed in India on 19 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Capsule Display is just amazing  strap quality is not up to the mark,rohit,4,  I have used mi band hrx edition for around   year and now I upgraded to mi band   so here I will just tell you my experience after comparing both Mi band hrx edition    Built quality is good        accurate   after using for months display got some scratches   battery backup is    to    days for using all features   sleep tracking is quite accurate  touch is not so responsive   brightness is very low Mi band     built quality of band  not capsule is be worst than mi band hrx edition  that is why I am giving it   stars otherwise it is good       accurate   display of capsule is very good   battery backup is same    to    days using all features on   sleep tracking is accurate    touch is very responsive    brightness is much better and good tha hrx edition  Overall under     rs this is the best band in this budget ,genuine,1
Reviewed in India on 11 February 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,One of the best bands,molisha saxena,5,  I was uncertain when I bought this band because of the reviews written by people but this watch is actually great if you have doubts let me assure you that it is one of the best fitness bands on Amazon  I will list some pros and consPROS      amazing battery life it has been   days from when I last charged it is       easy charging   good display   looks nice   step counting is not perfect      accurate     all the workout modes are great     the app is great and easy to use settings are quiet simple  MI Fit app    the music controlling feature comes handy while working out and walking instead of reaching out to your phone tochnage the song you can just use the watch as someone who likes to listent to music I like that featureCONS     For me one of the biggest cons is that it only counts steps when your hand is moving   for instance when the watch first arrived I thought it was defected because it was not counting steps but as soon as I started moving my hands steps increases   I have not had problems with the step counting since then     on the first day I wore the watch the strap got sweaty easily causing itching and redness but after you adjust to the watch it does not happen     the display is smaller than it looks  There are some features that I have not used sleep tracking  I do not wear the watch when I sleep   and PAI   I personally do not understand what it does   DND  do not know what that is  ,genuine,1
Reviewed in India on 18 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Best budget fitness tracker,Narendra Suthar,5,  Best fitness tracker in      range  Display is very good  Many bands use other color displays which are bad but here you get amoled display and every watch face cools fantastic  Heart rate is very accurate  Steps and distance is also     accurate  Sleep calculation requires you wear it tight enough otherwise it might not calculate properly  It has all workouts which a person might need who goes to gym ,genuine,1
Reviewed in India on 20 March 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Pretty good for the price tag ,Gizmo,4,  Well it is been a couple of months now I am using this so I am going to here are some pros and cons according to me in it  but seeing it is price  you can ignore  them cuz they were for me  not necessarily for all since my phone was pretty ancient as compared to new ones out there and probably that is why it lost connection pretty often and sometimes it even did not paired for some days  Otherwise it was quick  it is accuracy do raises eyebrows some times but not much I guess it is worth if you need A TRACKER and not A WATCH look out for that if you think like that that cuz yep it is amoled and has got good nits of brightness but duh   the screen s still less than my damn thumb    as a fitness tracker it is a GO  but a NO as watch Magnetic charging is pretty fast I would say and battery can last for like a week with more that     left IF sleep monitoring is OFF Would have been OP if bezels were less but yeah okayTHE VERDICT  If tight on budget it is good  but if you are having till  K  K go for the big ones only because of size P S  spO  really does not matter cuz in most of them  it is stupidly wrongHasta la vasta ,genuine,1
Reviewed in India on 5 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Worth the wait,Akshay Gopan,5,  I was waiting for its launch since it debuted in China and I am happy to report that it was worth the wait  I have previously owned mi band   and have not used smart band of other brands so it would be unfair to do comparisons  Well I guess anyone purchasing this product would be satisfied for the value it offers ,genuine,1
Reviewed in India on 29 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Nice display good features,jagpreet singh,4,  This product is a healthy choice can not promise precise accuracy but it does affect your mentality to do more activity and at this price one is getting what it is worth of  Really liked this product  especially sleep data It just gives you insight how much you sleep  how much ur body do movements Mobile app is wonderful very friendly you can also tracks your friends activity by adding them Display is very nice if it had spo  levels would have been great but still getting all these features at this cost is amazing buy most important it is healthy habit and it is really worth it Must buy for fitness freaks ,genuine,1
Reviewed in India on 8 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Great band   bang for the buck,teja reddy,5,  Awesome band   I have used mi band   and    Just switched to mi band   and the feeling is amazing  The improvements from band   to band   are phenomenol  The watch faces gives us a lot of info which is somewhat useful  PAI score is the more amazing part  It gives us a sort of motivation to keep the score high  which in turn gives us reason to do workout everyday Pros DisplayBatteryPAI scoreSleep tracking is accurateHeart rate is very goodStress level is goodMusic controlCamera controlCons  not many  but if I have to say Steps are sometimes a little bit offThat s all from my side  ,genuine,1
Reviewed in India on 13 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,An average fitness band   ,Harshal Thaware,5,  Battery     if you use heartrate tracking for every    mins it will drain like hell and need to charge every  th or  th day Display     Its bright and awesome even in bright sunny day with direct sunlights on screen you can see the screen with ease Heart rate and sleep tracking     No accuracy in sleep and heart rate tracking     rates are wrong and when it comes to sleep tracking its pathetic my iphone tracks better sleep time than this Bluetooth range     Very less range in my home I have a coverage only when phone is in distance of     meter as soon as I move more than that connection is lost Its an average band if you want to buy it for work out you must use it as it has many workout modes and track the workouts properly  This should not be your daily driver when it comes to health tracking ,genuine,1
Reviewed in India on 28 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,Waste of money  Chinese is Chinese at the end,Priyanshu kumar,1,  It measures heart rate of pillows  bedsheet and air as well even if I wear it or not it measures heart rate while my all the settings are on mannual and it measures sleep while I was playing cricket worst fitness band ever,fake,0
Reviewed in India on 24 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=18,The first time I ordered  I got a fake mi band  I requested for replacement and got an original one ,Sandhya,1,  Hi  I am not sure who to blame for this but I got a malfunctioning mi band the first time I ordered  So I ordered a return and replacement product  Only then I realized the original band looked very different and the first time I did not just get a malfunctioning product  IT WAS ACTUALLY A FAKE ONE  Amazon did fix the issue  but if the first product were charging  I would not even have bothered to find out if it was FAKE  Again  I do not know where it went wrong but this needs to be checked ,genuine,1
Reviewed in India on 4 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Love it  ,Sudip Seth,5,  I had purchased it   days back  According to me it is a perfect smart band at a perfect price Its personalized face and battery service too good it consumes approx    battery per day if you left PAI Turned off also nicely controls camera notification calls  Overall a decent fitness band at this price  Mi you nailed it   ,fake,0
Reviewed in India on 20 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Too small a screen to really enjoy it ,Nitesh Goyal,1,  The band is too small to be able to read anything  What a waste of money  All bands in this category are basically useless since they are so tiny  that you can barely read anything  Would recommend ONLY if the user is okay with having an absolutely tiny screen ,genuine,1
Reviewed in India on 7 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Not so great,Ritesh Kumar Agarwal,4,  Overall band is not so appealing as was expected Accuracy   step count algorithm should be better incase you drive via car wearing band it counts your steps  which should not be Battery life   I found it     days max  Which is again not compelling as per features rolled outOverall MI disappointed this time,genuine,1
Reviewed in India on 5 January 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Worst service,Lokesh,1,  When i am purchasing this watch i felt it is very help full to my daily life but once i getting a  issue the mi service center and my solution technician saying there is no service for watch we can only replace it one second if there is have any broken is there they do not give service also because it is failure model of mi family they do not know how to fix the issues they know only one thing replace only  i am really sorry i can not expect this type of answers from mi very very bad service ,genuine,1
Reviewed in India on 25 December 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Totally worth it ,Razal,5,  This is my first smartwatch fitness band that I have ever worn and for    k  in its price range  is one of the best you can get undoubtedly Display is aesthetically pleasing  Crisp and lovely to look at  There are many watch faces apps on play store that let us you customize the display of the watch  it is satisfying to look at It has many options concerning activities both indoor and outdoor  The band makes it much easier in tracking your fitness to the greatest length Step counter is pretty accurate unlike the other reviews  I have counted my steps on many occasions from one point to another and looked at the watch just to find out it is the same number  The heart Bpm  well it seems to be on point as well as sudden spike in heart Bpm is shown like when you are walking a lil briskly or other activites Apart from that   weather  calories burned counter  notifications  sleep tracking  stress level meter and all of that seems to be working fine there is a lift sensor where the watch display gets turned on when you turn the watch towards you  it is great The watch vibrates when you are receiving a call but you can only decline the call  you can not answer it  You can skip next or previous to the music plus the volume control which I find easy while riding the bike or taking a walk Also completely waterproof but showering with it makes you look dumb lolThe charge stays on for a long time  full charge gives you a week The charger is magnetic and it is easy to plug in without much confusion Cons Could have been full display head to toe  but that is asking for too much and would have been lovelyThe feature to answer calls should have been includedThe mi fit app could be more refined and user friendly even though it is still great,genuine,1
Reviewed in India on 14 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Good but not Perfect,Sumeet,4,  After using it for    days here is my review   Battery life   days max   Heart rate sensor  works well most of the time   So many customization options available in Mifit app and other feature like incoming call alter Cons   Battery life is   days  Xiomi should send OTA update to improve it  Its     of what Xiomi is claiming   No dark mode,genuine,1
Reviewed in India on 4 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Cool one  ,Harrie,5,  Your browser does not support HTML  video   Overall I would say it is the best product which I got for        it is worthy I would totally recommend and it has amazing features,fake,0
Reviewed in India on 14 January 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,review after   months  ,ankit raj,4,  writting the review after       month uses   Band is good  but its better to go for a smartwatch   the display is too short   sometimes it irritate me alot   mobile app after the update sucks    band display easily attract dust n scratch     tracking is fine    no prblm regarding the  functions    battery goes upto   to   days depends on your daily uses,genuine,1
Reviewed in India on 11 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Good but missing more features and new look,Rohan,4,  Has good build quality  reasonable brightness  has very good app view  MI devices has improved with the competition  has introduced multiple workouts and improved Heart rate sensors and other multiple options  Spo  option is missing which is available in honor  band ,genuine,1
Reviewed in India on 21 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=19,Sleep tracking is highly inaccurate,Ashok,1,  Sleep and naps tracking is highly inaccurate  Sleep time range is wrong always and all sleep related data seems wrong like deep sleep  awake time etc  Also  Naps tracking rarely works during daytime  MI please fix these issues by software update ,fake,0
Reviewed in India on 4 February 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Brilliant for the price range,Swaroop J.,4,  it is been a while since I used fitness trackers  and mi  has exceeded my expectations that I decided to get one for my better half as well  Sleep monitoring is a welcome addition  and gives us insight into deep sleep  REM sleep  and light sleep  Pretty accurate if you ask me Ability to customize watch faces as much as you want make it a good choice  Accuracy is good  I would say     steps missed every     steps  But overall a good device in the price range,genuine,1
Reviewed in India on 13 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Overall excellent to showoff among your friends  ,Honey,5,    Excellent for showoff   Good for exercise tracking   You can easily fool the step tracker by waving your hand   Heart rate monitor is     accurate as you compare it with oxy meter   Battery only last for   hrs so do not wear it if you want to go in a bear grylls like adventure ,fake,0
Reviewed in India on 7 February 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Accuracy on steps and distance,Dr PK,3,  Poor accuracy on number of steps and distance on walk mode  For same distance I found it be giving remarkably different readings  Not reliable for that purpose  However it can work as wrist watch and sync with phone to alert you for incoming call which is useful when mobile is inside purse  useful for ladies ,genuine,1
Reviewed in India on 7 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Best product in the market,Akash,5,  I have always been skeptical about fitness bands n I still am as I think fitness bands are not that important but the pricing of this fitness band makes it a quite lucrative choice What I have liked so far    Fairly accurate step counting  I did counting in my mind while walking n then checked on band n the steps the band counted was most of the times accurate which is very impressive considering its price    A lot of workout modes    Menstrual cycle calculator  hence this band can be a very god choice for women as well    Battery life appears to be quite good too but will update after exhausting the current battery life ,genuine,1
Reviewed in India on 15 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Really needed  Go for it ,Prashik,4,  Overall good  Feels a bit inaccurate in terms of heart rate monitoring Few points to clear    For some workouts like walking  cycling the band will not work unless you have phone with yourself for distance and location tracking  So if want to track that with only band in the morning  evening walk without phone  you can not do it    Battery does not last for   weeks  Its just when you keep heart and sleep monitor off    Ofcourse we will mostly keep heart rate and sleep monitor on always for better results and better tracking  due to which the battery lasts for     days only  from day one      to day          does not have unlimited watch faces exactly  It has limited watch faces  Other than that  its just that you can add any photo in background  from your gallery  but front section remains same  time  date  battery status  step count     Does not have heart rate widget on other watch faces ,genuine,1
Reviewed in India on 3 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Have all the basic functionalities for a reasonable price,Kandula Sai Pradeep,4,  Battery life is on an average of     days for moderate usage  SPo  functionality is not available  steps counting is accurate  heart rate sometimes does not count ,fake,0
Reviewed in India on 8 January 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,The battery is really very good,dj,4,  Intresting productPlus points  battery is very good  Accuracy is good it is having some memory to store data if it is not connected with phone   it can store multiple days data and later you can connect to phone than it will move all data from watch to phone    if you are going to use it just for watching time than definitely the battery will go for more than a month approximate     days  ,genuine,1
Reviewed in India on 7 October 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Just go for it       ,Ishaq,5,  Your browser does not support HTML  video   I have been using a Mi Band   And Honor band   already  So this is like an upgrade for me  Here is my review based on first few days usage  Will update the review again after a months usage to include other things like battery backup            Pros             New AMOLED display is so beautiful and fairly bright for out door  New music controls  Volume  Track  Play pause  works really well  but with a small delay  Custom wallpapers is the best feature i found  at first sight the menus and UI looked like my old Band    But after setting custom wallpaper the whole band is in new level now    m waterproof just like Band    I have taken my Band   under all worst conditions and never observed even fogging  Hope Band   also acts rugged      day battery is a good figure  will test and update the review after sometime  Now you can easy turn on off alarm with band   it was not feature in band     Weather for current location changes as you move   shows location name as well on screen           More pros   Compared to MI Band    All for little more money               Larger AMOLED Display      in Band           in Band           Band     Can turn ON and OFF existing alarms directly from band Something i really wish i had on my Band     Tempered glass top  New sensors    axis accelerometer     axis gyroscope   Well  i am not sure what its for  Sharper and much brighter display  Larger battery      mAH Band          mAH  Band     Screen guards can be applied due to broader face  Charging time is less than Band    takes less than   hours           Cons             UI could have been better  on such a beautiful screen  the current themes look bad  Weather could have been added to home screen  Band   has it  Could have added a switch to turn on high brightness for outdoor usage  because if you set brightness to   full  always it is really bright for indoors  but ideal for outdoors   The step counter is too inaccurate  Like any other brands this band also counts too many false steps  By the time i reach office in my car it shows me     KM or more  but actual walk is less than     KM  So better forget this feature           Other Features             Lift hand to turn on display  Sleep monitor  Call and Message Notifications  MI App comes with lot of features compared to other brands  Find my device is very usefulWhether you should buy it  Yes  yes  yes  Go for it  Even if you are not a fitness freak  this band is quite useful for Call  SMS and Calendar notifications  Especially while driving  you do not need to pickup the phone to cancel or mute the call  And you can not ask for anything more for what you pay Other alternativesIf you are ready to she will out more  you can checkout Amazfit Bip or Amazfit Verge lite models And as usual  Amazon delivered my Band superfast  in two days ,genuine,1
Reviewed in India on 7 January 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Screen freeze within few days of use   Useless touch sensor,Priyanka Nemade,1,  Your browser does not support HTML  video   I got this products not just a few days ago Seems like a complete waste of money   The workout modes do not sense the finger  Even tho you clean it   It hung screen freeze for hours yesterday Step counter is grossly inaccurate    By more then      steps   If you walk from ur bedroom to the loo uit counts     steps   The okay tick does not catch no matter how many times you press   Useless product does not have refund just a replacement hope that is not the same  Very disappointed ,genuine,1
Reviewed in India on 17 December 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=20,Worth Buying,Poojakaparthi,5,  I purchased it in October  it is amazingly working  I faced no issue till now  There are plenty of wallpapers which you can select according to your mood  I do not know how accurate the heart rate stress monitor is  but I realized I am turning a bit bad due to my laziness  But now I can keep track of everything and this can be a must add on to anyone s lifestyle  If you are looking for a good Fitbit then I would say you to go for this with a blind fold  I hoped for more features on this price mark but I feel it is worth buying ,genuine,1
Reviewed in India on 6 March 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,Don t buy mi band   before reading this review   ,Devaanshray,4,  Pros  It has a very good battery   Quick charging  Value for money  Nice watch faces but not too good  More activity tracking  Now it has magnetic charger which make it easy to charge than the previous model  Now it has stress monitor but not too accurate  It has new feature of breath control that will tell you how to breath properly for given time but it is not as usable Cons  if you use PAI than it will will reduce the battery life even reduce half   music and camera controls are not too nice it was just added to make it more advertisable else they are use less   the biggest problem with mi bands are their straps are one removed the it is very hard to put in proper position and in mi band   it become more hard as it has little bit hard strap   design is not good and people would not notice as it look little bit similar to mi band     the heart rate  step monitor and stress monitor are not accurate   it came at the same price of one plus fitness band but has not spo  tracker as well less less function This my review and opinion on this watch hope you will get a better glance to buy it or not If you are satisfied with my review let me know by Hitting the like Thank you,genuine,1
Reviewed in India on 27 November 2020,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,MI Band  ,Nilesh Nair,5,  The product is good and reliable at this price point It servers the purpose  the sleep tracking is fine it gives an overall clarity on individuals seepling patern  The mobile app works perftly  The accuracy i e  pedometer is not completely as per actuals but while waking once the same is activated it counts the steps properly  It very comfortable wearing the band  battery life is good the magnetic charging is best ,genuine,1
Reviewed in India on 2 February 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,Budget friendly Premium Band,Pramod G,4,  It is budget friendly premium gadget  I love this band   good product from Mi  Tracks    Sports Mode with good accuracy  tracks your steps   running  yoga  stress  PAI UI is also very easy  with an amoled display  and  ATM  water resistant for swimming tracking   one of the premium feature  No other company gives such a premium product in the price tag of Rs        even you can get a discount of Rs      with Amazon Pay Later payment mode  I would like to recommend this to all budget friendly people ,genuine,1
Reviewed in India on 25 February 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,Not for sports activities due to inaccurate distance calculation  overall great watch at this price,Yashwardhan Singh,3,  I bought the watch for running but it was a bad choice  The watch is highly inaccurate in distance calculation  Whereas my phone recorded a run of  kms  the watch had only recorded a distance of    kms  As I ran further  the difference between the distance calculated by my phone and my watch increased  The main reason the watch is so inaccurate in distance calculation is because it lacks a GPS  which one cannot expect in a smart watch at this price range although This apart  the heart rate calculation is good and reliable  The MI Fit app  which is to be downloaded on your phone  is a great app with space for customization of your watch  There are also third party apps on the Google Play Store and the Apple App Store which can give you a whole lot of other options to customize and use this watch to its maximum potential  such as having Google Maps  technically  run on the watch I am not happy about the inaccuracy of the watch but at this price range  when I can even use the watch to take a photo from my phone s camera and answer calls  there is not much else to complain about ,genuine,1
Reviewed in India on 17 January 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,Battery draining rapidly,Amazon Customer,1,  Batterybackup is not as expected    I hardly get around   days with full charge and that too turning off all the functions  And even when the battery percentage drops to     it rapidly drains after that  Maybe within    minutes it shuts down  And this issue is there from day one ,genuine,1
Reviewed in India on 9 March 2021,https://www.amazon.in/Smart-AMOLED-Display-Battery-Resistant/product-reviews/B08GXC2NTX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=21,Satisfied,Smitha Thomas Joseph,3,  Reviewing the product after a month  The battery lasts for atleast   weeks  But if I try to switch on Regular heartbeat monitoring  PAI  or sleep assistant mode it warns me about reduced battery life  The app warns onCharging is super quick  the length of the charger wire is small so suitable to charge with laptop I have not given full stars on accuracy as the band adds up step count when my arms move rapidly in any activity  Upon syncing  my iPhone health app however does not take the bands step count on face value so satisfied with the products use  I found the sleep tracking to be quite up to the mark  Gives details of light and deep sleep modes The yoga workout mode is not accurate at all  Unless I pause it  the band seems to keep calculating calories lost based on time This might not be common to all user but I have an itching sensation if the band is slightly tight for a long duration  as is needed for workout modes or measuring heart rates ,genuine,1
